state_name,lng,lat
Arizona,-111.7632755,34.395342
New York,-74.0060152,40.7127281
Illinois,-89.4337288,40.0796606
Oklahoma,-97.2684063,34.9550817
Ohio,-82.6881395,40.2253569
Oregon,-120.737257,43.9792797
Florida,-81.4639835,27.7567667
California,-118.7559974,36.7014631
Texas,-99.5120986,31.8160381
Minnesota,-94.6113288,45.9896587
Utah,-111.7143584,39.4225192
Michigan,-84.6824346,43.6211955
Wisconsin,-89.6884637,44.4308975
Iowa,-93.3122705,41.9216734
Indiana,-86.1746933,40.3270127
Pennsylvania,-77.7278831,40.9699889
Mississippi,-89.7348497,32.9715645
Massachusetts,-72.032366,42.3788774
New Jersey,-74.4041622,40.0757384
North Carolina,-79.0392919,35.6729639
South Carolina,-80.4363743,33.6874388
Washington,-77.0365529,38.8948932
Louisiana,-92.007126,30.8703881
Colorado,-105.6077167,38.7251776
New Mexico,-105.993007,34.5708167
Georgia,-83.1137366,32.3293809
Tennessee,-86.2820081,35.7730076
Idaho,-114.0154071,43.6447642
Virginia,-78.4927721,37.1232245
Nebraska,-99.5873816,41.7370229
Montana,-109.6387579,47.3752671
Arkansas,-92.4479108,35.2048883
Maryland,-76.9382069,39.5162234
Missouri,-92.5617875,38.7604815
South Dakota,-100.348761,44.6471761
Alaska,-149.680909,64.4459613
Maine,-68.8590201,45.709097
Hawaii,-157.975203,21.2160437
Kansas,-98.5821872,38.27312
Delaware,-75.4013315,38.6920451
Wyoming,-107.5685348,43.1700264
Kentucky,-85.1551411,37.5726028
Vermont,-72.5002608,44.5990718
Nevada,-116.8537227,39.5158825
Alabama,-86.8295337,33.2588817
Connecticut,-72.7342163,41.6500201
West Virginia,-80.8408415,38.4758406
Rhode Island,-71.5992372,41.7962409
New Hampshire,-71.6553992,43.4849133
North Dakota,-100.540737,47.6201461
